epoch,IoU_Score
1.0,0.05379089564064832
2.0,0.05377442616763104
3.0,0.07997512637854687
4.0,0.11316973724174267
5.0,0.12728003199646515
6.0,0.16794147160430048
7.0,0.2352591125074326
8.0,0.30692243482261755
9.0,0.38500075907174675
10.0,0.45650486510197663
11.0,0.5069549057701493
12.0,0.5435165011747646
13.0,0.5850596358136182
14.0,0.5964799072126027
15.0,0.6101974330348056
16.0,0.6048493822402256
17.0,0.610967526585779
18.0,0.6185884563855706
19.0,0.6224361028854244
20.0,0.624795576464564
21.0,0.6398189363330596
22.0,0.6363189133644758
23.0,0.6473023265709351
24.0,0.6547290761016039
25.0,0.6523789075141085
26.0,0.6576523582885919
27.0,0.6648772495206313
