epoch,IoU_Score
1.0,0.08439906172963581
2.0,0.11447915592555914
3.0,0.14313064066067263
4.0,0.1781895150963241
5.0,0.2165157250317796
6.0,0.28750973451125733
7.0,0.35152432037464304
8.0,0.4922908916272898
9.0,0.5477717279446597
10.0,0.5695047458369826
11.0,0.5933728764624123
12.0,0.5861823500120467
13.0,0.6055405015998331
14.0,0.6166339924029687
15.0,0.6002714282399683
16.0,0.6022397479026727
17.0,0.6054971967919197
18.0,0.614905744128566
19.0,0.6268773021767439
20.0,0.6308435210335837
21.0,0.6367053265012013
22.0,0.6409529917148804
23.0,0.6424376442236229
24.0,0.6505188785984931
25.0,0.6549386717429382
26.0,0.6623602603858663
27.0,0.6673422654200947
28.0,0.6583076419495149
29.0,0.6714971780506915
30.0,0.6763543004715282
31.0,0.6846490252754194
32.0,0.6850435469190993
