epoch,IoU_Score
1.0,0.1098297670863592
2.0,0.2546640746217153
3.0,0.393192087455955
4.0,0.44084551908653324
5.0,0.48354579559803557
6.0,0.5094523912694499
7.0,0.5236537465175994
8.0,0.5352417256261802
9.0,0.5481109825970443
10.0,0.5562874356387045
11.0,0.5725818163140987
12.0,0.5670749465232273
13.0,0.5766351958184228
14.0,0.5808131804078518
15.0,0.5848272553225065
16.0,0.5941089445742044
17.0,0.5933886219866541
18.0,0.6075287004940925
19.0,0.6057935657815285
20.0,0.614073159149777
21.0,0.6211627536970855
22.0,0.6165187173539813
23.0,0.6251152722546052
24.0,0.6294518541316585
25.0,0.6387540140613946
26.0,0.6424161722142302
27.0,0.6355568509069754
28.0,0.643467596701093
29.0,0.6536189325239947
30.0,0.6596497167288017
31.0,0.6529790027657763
32.0,0.6588532832546802
33.0,0.6632130740465177
34.0,0.6681448987609363
35.0,0.6744654369648081
36.0,0.668231932193834
37.0,0.6685496232228362
38.0,0.6750494462861871
39.0,0.6864810710998465
40.0,0.6882776402545504
