epoch,loss_val
1.0,0.8754639798089078
2.0,0.8371706683384744
3.0,0.8020868379818765
4.0,0.7634070766599554
5.0,0.7194794008606359
6.0,0.666073750508459
7.0,0.6083554578454871
8.0,0.5361421657235999
9.0,0.46479482870352895
10.0,0.4083405309601834
11.0,0.3579546071981129
12.0,0.33686378441358866
13.0,0.30597914206354243
14.0,0.28277650475502014
15.0,0.28738540567849813
16.0,0.27883462999996383
17.0,0.27151819906736674
18.0,0.25774842343832316
19.0,0.24419952850592763
20.0,0.23794235838086983
21.0,0.23195968489897878
22.0,0.2259833326465205
23.0,0.22332488235674405
24.0,0.21471623527376274
25.0,0.21131903874246696
26.0,0.2022354555757422
27.0,0.1965109768666719
28.0,0.2040079565424668
29.0,0.19187640830090172
30.0,0.186904943303058
31.0,0.18000459357311852
32.0,0.17777446696632787
